StringID,English_Translator,Screenshot,Notes,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
TEST_STRING1,Test String 1,,,Test String 1,測試管柱1,测试管柱1,テスト文字列1,테스트 문자열 1,Test String 1,Test String 1,String Test 1,Test-String 1,Prova String 1,Test String 1,Тест Строка 1,Cadena de Prueba 1,Test Sträng 1,Test Dize 1,Cadeia Teste 1
ACTIVE_SKILL_NAME_TapBoost,Fire Sword,ActiveSkillPanel.png,,Fire Sword,火焰之劍,火焰之剑,炎の剣,화염의 검,Ildsværd,Vuurzwaard,Épée de feu,Feuerschwert,Spada di fuoco,Ildsverd,Огненный меч,Espada de fuego,Eldsvärd,Ateş Kılıcı,Espada de Fogo
ACTIVE_SKILL_NAME_ShadowClone,Shadow Clone,,,Shadow Clone,影分身術,影分身术,影分身,그림자 분신술,Skyggeklon,Schaduwkloon,Clone de l'ombre,Schattenklon,Clone oscuro,Skyggeklone,Теневой клон,Clon de sombra,Skuggklon,Gölge Klon,Sombra Clone
ACTIVE_SKILL_NAME_BurstDamage,Heavenly Strike,,,Heavenly Strike,天堂聖擊,天堂圣击,天空落とし,하늘의 공격,Hemmeligt slag,Hemelse klap,Frappe céleste,Himmlischer Schlag,Attacco celestiale,Himmelsk angrep,Небесный удар,Golpe celestial,Himmelskt slag,Cennet Vuruşu,Ataque celestial
ACTIVE_SKILL_NAME_HelperBoost,War Cry,,,War Cry,戰嚎,战嚎,雄叫び,고함,Krigskald,Strijdkreet,Cri de guerre,Kriegsschrei,Grido di guerra,Krigsrop,Боевой клич,Grito de guerra,Krigsrop,Savaş Narası,Guerra
ACTIVE_SKILL_NAME_CritBoost,Critical Strike,,,Critical Strike,重擊出擊,重击出击,クリティカル攻撃,크리티컬 스트라이크,Kritisk slag,Kritieke klap,Frappe critique,Kritischer Treffer,Attacco critico,Kritisk angrep,Критический удар,Golpe crítico,Avgörande slag,Kritik Darbe,Ataque crítico
ACTIVE_SKILL_NAME_HandOfMidas,Hand of Midas,,,Hand of Midas,米達斯之手,米达斯之手,ミダスの手,마이더스의 손,Midas' hånd,Hand van Midas,Main de Midas,Hand des Midas,Mano di Mida,Midas' hånd,Рука Мидаса,Mano de Midas,Midas hand,Midas'ın Eli,Mão de Midas
ACTIVE_SKILL_DESC_TapBoost,"Sword Master ignites his sword, granting extra damage against his foes",,,"Sword Master ignites his sword, bestowing extra damage against his foes",劍術大師能夠點燃寶劍，對敵人造成額外傷害,剑王点燃他的剑，对敌人造成额外伤害,ソードマスターが剣に火をともし、敵にさらなるダメージを与えます,소드 마스터가 자신의 검에 불을 붙여 적에게 추가 대미지를 입힙니다.,"Sværdmester antænder sit sværd, hvilket giver hans fjender ekstra skade",Zwaardmeester laat zijn zwaard ontvlammen waardoor hij zijn vijanden extra schade kan toebrengen,Le Maître de l'épée embrase son arme et inflige plus de dégâts à ses ennemis,Der Schwertmeister entzündet sein Schwert und verursacht so Zusatzschaden bei seinen Feinden.,"Il Maestro di spada infiamma la propria arma, aumentando il danno sul nemico.",Sverdmesteren tenner sitt sverd for å påføre fiendene ekstra skade,Оружие мечника воспламеняется и наносит врагам дополнительный урон,El maestro espadachín prende fuego a su espada y causa daño adicional a los enemigos.,Svärdkonstnären sätter eld på sitt svärd och gör ökad skada mot sina fiender,"Kılıç Ustası, kılıcını tutuşturur ve böylece düşmanlarına daha fazla hasar verir","O Mestre da Espada acende sua espada, causando dano extra aos seus inimigos."
ACTIVE_SKILL_DESC_ShadowClone,A clone appears from the Netherrealm to aid Sword Master in battle,,,A clone appears from the Netherrealm to aid Sword Master in battle,一位來自冥界的複製人將現身協助劍術大師戰鬥,一个克隆体从虚空域中出现，帮助剑王战斗,地底世界からソードマスターの分身が現れ、戦闘に加勢します,지하 세계로부터 클론이 나타나 전투 중 소드 마스터를 돕습니다.,En klon dukker op fra Underriget for at hjælpe Sværdmester i kamp,Er verschijnt een kloon uit de Nederwereld om Zwaardmeester tijdens de strijd bij te staan,Un clone du Royaume spirituel apparaît pour aider le Maître de l'épée au combat,Ein Klon erscheint aus dem Schattenreich und hilft dem Schwertmeister im Kampf.,"Un clone appare dall'aldilà, per aiutare il Maestro di spada in battaglia.",En klone dukker opp fra underverdenen for å hjelpe sverdmesteren i kampen,Клон из потустороннего мира выручает мечника в битве,Un clon surge del inframundo para ayudar al maestro espadachín en la batalla.,En klon hämtas från undervärlden för att hjälpa svärdskonstnären i strid,Kılıç Ustasına savaşta yardım etmek üzere Yokdünya'dan bir klon gelir,Um clone aparece do Reino Baixo para ajudar o Mestre da Espada
ACTIVE_SKILL_DESC_BurstDamage,Sword Master channels the power of the gods and unleashes a devestating explosion,,,Sword Master channels the power of gods and unleashes explosive damage to all,劍術大師引用神力並對所有人放出爆炸性傷害,剑王导引众神的力量，对所有人释放爆炸伤害,神々の力を一身に集め、絶大な攻撃力に転化します,소드 마스터가 신들의 힘을 전달받아 모두에게 폭발 대미지를 방출합니다.,Sværdmester kanaliserer gudernes kræfter og forretter eksplosiv skade på alle,Zwaardmeester bundelt de kracht van de goden en brengt explosieve schade aan alle tegenstanders toe,Le Maître de l'épée canalise le pouvoir des dieux et inflige des dégâts importants à tous les ennemis,Der Schwertmeister kanalisiert die Kräfte der Götter und verursacht bei allen massiven Schaden.,Il Maestro di spada incanala il potere degli dei e infligge danni esplosivi a tutti i nemici.,Sverdmesteren kanaliserer guddommelig kraft og rammer alle med eksplosive skader,Мечник черпает силу богов и наносит урон взрывной волной всем вокруг,El maestro espadachín canaliza el poder de los dioses y causa daño explosivo a todos los enemigos.,Svärdkonstnären kanaliserar gudarnas kraft och gör explosiv skada mot alla,"Kılıç Ustası, tanrıların kuvvetini toplar ve herkese patlayıcı bir hasar verir",O Mestre da Espada canaliza o poder dos deuses e causa danos explosivos em todos
ACTIVE_SKILL_DESC_HelperBoost,"Your Heroes rally around you, increasing their attack speed",,,Boosts the attack speed of all heroes,提升所有英雄的攻擊速度,提高所有英雄的攻击速度,すべてのヒーローの攻撃速度をアップします,모든 영웅의 공격 속도를 강화합니다.,Forstærker angrebsfarten for alle helte,Vergroot de aanvalssnelheid van alle helden,Booste la vitesse d'attaque de tous les héros,Steigert das Angriffstempo bei allen Helden.,Potenzia la velocità di attacco di tutti gli eroi.,Forbedrer angrepshastigheten til alle heltene,Увеличивает скорость атаки всех героев,Aumenta la velocidad de ataque de todos los héroes.,Ökar snabbheten för alla hjältars attacker,Tüm kahramanların saldırı hızını artırır,Aumenta a velocidade de ataque de todos os heróis
ACTIVE_SKILL_DESC_CritBoost,Sword Master unleashes his inner strength for a burst of damage,,,Sword Master unleashes his inner strength for a burst of damage,劍術大師釋放內在力量來造成爆發性傷害,剑王释放他内在的力量，激发爆发伤害,ソードマスターの内なる力を解放して攻撃力を強化します,소드 마스터가 내면의 힘을 분출해 폭발적인 대미지를 입힙니다.,Sværdmester slipper sin indre styrke løs i et udbrud af skade,Zwaardmeester ontketent zijn innerlijke kracht om een enorme schadestoot toe te brengen,Le Maître de l'épée libère sa force intérieure pour décupler ses dégâts,Der Schwertmeister verursacht großen Schaden mit seiner inneren Stärke.,Il Maestro di spada rilascia la sua forza interiore in un'esplosione dai gravi danni.,Sverdmesteren fremkaller sin indre styrke og påfører et brak av skade,Мечник использует силу внутри себя и наносит большой урон,El maestro espadachín desencadena su fuerza interior y provoca un estallido de daño.,Svärdkonstnären släpper loss sin inre styrka och gör urladdningsskada,"Kılıç Ustası, büyük miktarda hasar vermek için içindeki gücü serbest bırakır",O Mestre da Espada libera sua força interna para uma onda de dano
ACTIVE_SKILL_DESC_HandOfMidas,Sword Master communes with the gods and is showered with riches,,,Sword Master communes with the gods and is showered with riches,劍術大師獲得神靈附體並被賦予大量黃金,剑王与众神沟通，被赐予了从天而降的金币,神々と心を通わせ、黄金の雨の恵みを受けます,소드 마스터가 신들과 교감하고 엄청나게 많은 골드를 받습니다.,Sværdmester er i dyb forbindelse med guderne og modtager en regn af guld,Zwaardmeester communiceert met de goden en wordt overladen met goud,Le Maître de l'épée communie avec les dieux et reçoit une pluie d'or,Der Schwertmeister kommuniziert mit den Göttern und wird mit Gold überhäuft.,"Il Maestro di spada entra in comunione con gli dei, ricevendo un cumulo d'oro.",Sverdmesteren omgås med gudene og blir skjenket en dusj av gull,"Мечник взывает к богам, и в ответ получает дождь из золотых монет","El maestro espadachín entra en contacto con los dioses, quienes lo bendicen con una lluvia de monedas.",Svärdkonstnären kommunicerar med gudarna och belönas med ett regn av guld,"Kılıç Ustası, tanrılarla iletişime geçerek altın yağmuru alır",O Mestre da Espada entra em comunhão com os deuses e é agraciado com uma chuva de ouro
ACTIVE_SKILL_QUICK_DESC_TapBoost,Increase tap damage by {0}x,ActiveSkillPoPup.png,{0} is active skill amount,Increase tap damage by {0}x,點擊攻擊力提升 {0}x,点击伤害增加 {0}%,タップのダメージが{0}倍に増加,탭 대미지 {0}배 증가,Øger trykskade {0}x,Vergroot de tikschade met {0}x,Dégâts des touches x{0},Erhöht Tippschaden um das {0}-fache,Aumenta i danni tocco di {0} volte.,Få {0} % ekstra brannskade,Увеличивает урон в {0} р.,Incrementa el daño por toque en {0}.,Öka tryckskadan med {0}x,Dokunma hasarını {0}x artır,Aumenta o dano de toque {0}x
ACTIVE_SKILL_QUICK_DESC_ShadowClone,Deals {0}x tap damage/second,ActiveSkillPoPup3.png,{0} is active skill amount,Attack {0} times/second,創造分身就能發動 {0} 次/秒的攻擊,建立分身就能发动 {0} 次/秒的攻击,分身を作り、{0} 回/秒の攻撃,클론을 만들어 {0}회/초로 공격,Opret en klon for at angribe {0} gange/sek.,Creëer een kloon om {0} keer/sec. aan te vallen,Crée un clone pour attaquer {0} fois/sec,Ein Klon der {0}-mal/Sek. angreift,Crea un clone per attaccare {0} volte/sec,Lag en klone for å angripe {0} ganger/sek,Создайте клон для нанесения {0} ударов в секунду,Crea un clon para atacar {0} veces/seg,Skapa en klon för att anfalla {0} gånger/sek,{0} kez/sn saldırmak için klon yarat,Criar um clone para atacar {0} vezes/seg
ACTIVE_SKILL_QUICK_DESC_BurstDamage,Deal {0}x tap damage,ActiveSkillPoPup2.png,{0} is active skill amount,Deal {0}x tap damage,造成 {0} x 的點擊傷害,造成 {0} x 点击伤害,{0}倍のダメージを付与,탭 대미지 {0}배 입힘,Giv {0} x trykskade,Breng {0} x tikschade toe,Dégâts des touches x {0},Verursacht {0} x Tippschaden,Infligge danni tocco x {0},Påfør {0} skade,Наносит в {0} р. больше урона,Inflige {0} de daño por toque,Gör {0}x tryckskada,{0} x dokunma hasarı ver,Causa {0} x de dano de toque
ACTIVE_SKILL_QUICK_DESC_HelperBoost,Increase Heroes' attack Speed by {0}x,ActiveSkillPoPup4.png,{0} is active skill amount,Increase Heroes' attack Speed by {0}x,提升 {0}x 英雄攻擊速度,令英雄的攻击速度增加 {0}x,ヒーローの攻撃速度が{0}x増加,영웅의 공격 속도 {0}x 증가,Forøg heltes angrebsfart med {0}x,Vergroot de aanvalssnelheid van helden met {0}x,Augmente la vitesse d'attaque des héros de {0}x,Steigert das Angriffstempo der Helden um {0}x,Aumenta la velocità di attacco degli eroi di {0}x.,Øker heltenes angrepshastighet med {0}x,+{0}x к скорости атаки героев,Aumenta la velocidad de ataque de todos los héroes en un {0}x.,Ökar hjältars attackhastighet med {0}x,Kahramanların saldırı Hızını x{0} artır,Aumenta Velocidade de ataque dos Heróis em {0}x
ACTIVE_SKILL_QUICK_DESC_CritBoost,Increase Critical Chance by {0}%,ActiveSkillPoPup5,{0} is active skill amount,Increase Critical Chance by {0}%,提升 {0}% 爆擊機率,令暴击机率增加 {0}%,クリティカルチャンスが{0}%増加,치명타 확률 {0}% 증가,Forøg chance for kritisk skade med {0} %,Vergroot kritieke kans met {0}%,Augmente de {0} % les chances de critique,Erhöht die Chance auf kritische Treffer um {0} %,Aumenta la possibilità di critico di {0}%.,Øker sjansen for kritiske treff med {0} %,+{0}% к шансу критического удара,Aumenta la probabilidad de asestar golpes críticos en un {0} %.,Ökar chansen för kritiska träffar med {0} %,Kritik Vuruş Şansını %{0} artır,Aumenta Chance Crítica em {0}%
ACTIVE_SKILL_QUICK_DESC_HandOfMidas,Get {0}x Titan Gold per tap,ActiveSkillPoPup6,{0} is active skill amount,Get {0}x Titan Gold per tap,每次點擊獲取 {0}x 巨人黃金,每次点击获得 {0}x 巨人黄金,1タップごとに{0}倍のタイタンゴールド獲得,탭당 타이탄 골드 {0}배 획득,Få {0}x titanguld per tryk,Krijg {0}x Titanengoud per tik,{0} pièces d'or de Titan par touche,Hol dir {0}x Titan-Gold pro Tippen.,Ottieni Oro dei titani x{0} per tocco.,Få {0}x titangull per trykk,В {0} р. больше золота титанов за каждый удар,Consigue {0} de oro de titán por toque.,Få {0}x titanguld per tryck,Her dokunmada {0}x Titan Altını kazan,Obtém {0}x de ouro de titã por toque
ACTIVE_SKILL,Active Skills,,,Active Skills,主動技能,主动技能,アクティブスキル,활성 스킬 ,Aktive færdigheder ,actieve vaardigheden,Compétences actives,aktive Fähigkeiten,Abilità attive ,aktive egenskaper ,"Панели игрока, активных навыков и Престижа",habilidades activas ,Aktiv skicklighet ,Aktif Yetenekler ,Habilidades ativas 
LEVEL_SHORT,Lv. {0},,{0} is level,Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0},Lv. {0}
MANA,Mana,,,Mana,法力,法力,マナ,마나,Mana,Mana,Mana,Mana,mana,Mana,Мана,Mana,mana,doğaüstü güç,mana
ACTIVE_SKILL_PANEL_NEXT_LEVEL,Next Level,,,Next Level,下個等級,下个等级,次のレベル,다음 레벨,Næste niveau,Volgend niveau,Niveau suivant ,Nächstes Level,Livello successivo,Neste nivå,След. уровень,Siguiente nivel,Nästa nivå,Sonraki Seviye,Próximo nível
ACTIVE_SKILL_PANEL_SKILL_TREE_BONUS,Skill Tree Bonus,ActiveSkillPoPup,,Skill Tree Bonus,技能樹加成,技能树加成,スキルツリーボーナス,스킬 트리 보너스,Evnetræsbonus,Bonus vaardighedenschema,Bonus d'arbre de compétences,Fertigkeitenbaum-Bonus,Bonus albero abilità,Ferdighetstrebonus,Бонус дерева умений,Bonificación de árbol de habilidades,Bonus till färdighetsträd,Beceri Ağacı Bonusu,Bônus de Árvore de Habilidades
SKILL_TREE,``,ActiveSkillPoPup,,Skill Tree,技能樹,技能树,スキルツリー,스킬 트리,Evnetræ,Vaardighedenschema,Arbre de compétences,Fertigkeitenbaum,Albero abilità,Ferdighetstre,Дерево умений,Árbol de habilidades,Färdighetsträd,Beceri Ağacı,Árvore de Habilidades
USE,Use,,a use button. To use an equipment.,Use,使用,使用,使用,사용,Brug,Gebruiken,Utiliser,Verwenden,Usa,Bruk,Использовать,Usar,Använd,Kullan,Usar
BUY,Buy,,,BUY,購買,购买,購入,구매,Køb,Kopen,Acheter,Kaufen,Acquista,Kjøp,Купить,Comprar,Köp,Satın Al,Comprar
AMOUNT_LEFT,{0} left,,{0} amount left,{0} left,剩餘{0},{0} 剩余,残り{0},{0} 남음,{0} tilbage,{0} over,Encore{0},{0} übrig,{0} rimaste,{0} igjen,Осталось {0},Tienes{0},{0} kvar,{0} Kaldı,{0} restante
PERK_TITLE_ManaPotion,Mana Potion,,,Mana Potion,魔力藥水,法力药水,マナポーション,마나 물약,Mannadrik,Mana-drankje,Potion de mana,Manatrank,Pozione di mana,Manaeliksir,Зелье маны,Poción de maná,Manadryck,Mana İksiri,Poção de Mana
PERK_DESC_ManaPotion,Refill your mana pool,,,Refill your mana pool,補充你的魔力值,补满你的法力池,マナプール補充,마나 풀 재충전,Fyld din mannapulje op igen,Vul je mana-voorraad aan,Recharge ta réserve de mana,Fülle deinen Manapool wieder auf.,Ricarica la tua riserva di mana.,Fyll opp manaen,Восполняет запас маны,Recarga las reservas de maná.,Återställ din mana,Mana havuzunu doldur,Recarrega seu reservatório de mana
PERK_TITLE_MakeItRain,Make it Rain,,,Make it Rain,下雨吧,天降钱雨,一攫千金,돈벼락,Få det til at regne,Laat het regenen,Et que ça pleuve !,Lass es regnen,Come se piovesse,Regnmaker,Золотой дождь,Lluvia de billetes,Skapa regn,Yağdır,Fazer chover
PERK_DESC_MakeItRain,Receive {0} Gold,,{0} gold amount,Receive {0} Gold,收到 {0} 塊黃金,收到 {0} 块黄金,{0} ゴールド獲得,골드를 {0}개 받습니다.,Få {0} i guld,Ontvang {0} goud,Reçois {0} pièces d'or,Erhalte {0} Gold,Ricevi {0} pezzi d'oro,Få {0} gull,Получить {0} золота,Recibe {0} de oro,Få {0} guld,{0} Altın Kazan,Receber {0} de ouro
PERK_TITLE_ClanMakeItRain,Clan Crate,,,Clan Crate,部落木箱,部落宝箱,クランの補給物資,클랜 상자,Klankasse,Clankist,Caisse de clan,Clan-Kiste,Cassa del clan,Klankasse,Добыча клана,Caja del clan,Klanlåda,Klan Sandığı,Caixote do clã
PERK_DESC_ClanMakeItRain,Launch a crate full of gold for you and your clan members. You get {0} gold.,,,Launch a crate full of gold for you and your clan members. You get {0} gold.,為你與你的部落成員所推出的裝滿黃金的木箱。你獲得 {0} 黃金。,出现一个装满黄金的宝箱，给你和你部落的成员。你获得 {0} 黄金。,自分とクランのメンバーのためにゴールドを詰め込んだ補給物資を投下。{0}ゴールド入手できます。,클랜 회원을 위해 골드로 가득한 상자를 발사하세요.당신은 {0} 골드를 획득합니다.,Send en kasse med guld til dig og dine klanmedlemmer.Du får {0} guld.,Lanceer een kist vol goud voor jou en je clanleden.Je krijgt {0} goud.,Lance une caisse pleine d'or pour toi et les membres de ton clan.Tu obtiens {0} pièces d'or.,Hol dir eine Kiste voller Gold für dich und deine Clanmitglieder.Du erhältst {0} Gold.,Lancia una cassa piena d'oro per te e i membri del clan.Ottieni {0} oro.,Gi deg selv og klanmedlemmene dine en kasse full av gull.Du får {0} gull.,Ящик с золотом для вас и участников клана.Вы получите золото: {0}.,Aparece una caja llena de oro para ti y los miembros de tu clan.Obtienes {0} de oro.,Skicka en låda full med guld till dig och dina klanmedlemmar.Du får {0} guld.,Klan üyelerin ve senin için altınla dolu bir sandık fırlat.{0} altın aldın.,Lança um caixote cheio de ouro para você e os membros do seu clã.Você obtém {0} de ouro.
PERK_TITLE_Doom,Doom,,,Doom,末日,末日,破滅,파멸,Undergang,Doem,Destin funeste,Untergang,Fato,Dommedag,Рок,Perdición,Fördömelse,Lanet,Ruína
