StringID,English_Translator,Screenshot,Notes,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
ACTIVE_SKILL_NAME_TapBoost,Fire Sword,ActiveSkillPanel.png,,Fire Sword,火焰之劍,火焰之剑,炎の剣,화염의 검,Ildsværd,Vuurzwaard,Épée de feu,Feuerschwert,Spada di fuoco,Ildsverd,Огненный меч,Espada de fuego,Eldsvärd,Ateş Kılıcı,Espada de Fogo
ACTIVE_SKILL_NAME_ShadowClone,Shadow Clone,,,Shadow Clone,影分身術,影分身术,影分身,그림자 분신술,Skyggeklon,Schaduwkloon,Clone de l'ombre,Schattenklon,Clone oscuro,Skyggeklone,Теневой клон,Clon de sombra,Skuggklon,Gölge Klon,Sombra Clone
ACTIVE_SKILL_NAME_BurstDamage,Heavenly Strike,,,Heavenly Strike,天堂聖擊,天堂圣击,天空落とし,하늘의 공격,Hemmeligt slag,Hemelse klap,Frappe céleste,Himmlischer Schlag,Attacco celestiale,Himmelsk angrep,Небесный удар,Golpe celestial,Himmelskt slag,Cennet Vuruşu,Ataque celestial
ACTIVE_SKILL_NAME_HelperBoost,War Cry,,,War Cry,戰嚎,战嚎,雄叫び,고함,Krigskald,Strijdkreet,Cri de guerre,Kriegsschrei,Grido di guerra,Krigsrop,Боевой клич,Grito de guerra,Krigsrop,Savaş Narası,Guerra
ACTIVE_SKILL_NAME_CritBoost,Critical Strike,,,Critical Strike,重擊出擊,重击出击,クリティカル攻撃,크리티컬 스트라이크,Kritisk slag,Kritieke klap,Frappe critique,Kritischer Treffer,Attacco critico,Kritisk angrep,Критический удар,Golpe crítico,Avgörande slag,Kritik Darbe,Ataque crítico
ACTIVE_SKILL_NAME_HandOfMidas,Hand of Midas,,,Hand of Midas,米達斯之手,米达斯之手,ミダスの手,마이더스의 손,Midas' hånd,Hand van Midas,Main de Midas,Hand des Midas,Mano di Mida,Midas' hånd,Рука Мидаса,Mano de Midas,Midas hand,Midas'ın Eli,Mão de Midas
TALENT_ENGAGED_PETQTE,Pet: Lightning Burst,,,Pet: Lightning Burst,寵物：雷電爆破,宠物：闪电爆发,ペット：ライトニングバースト,소환수: 번개 폭발,Kæledyr: Lyn-udbrud,Huisdier: Lichtflits,Familier : Décharge de foudre,Tier: Blitzstoß,Animale: Esplosione di fulmine,Kjæledyr: Tordenbrak,Питомец: Взрыв молний,Mascota: Estallido eléctrico,Djur: Blixtbristning,Hayvan: Yıldırım Patlaması,Pet: Rajada de Raio
TALENT_ENGAGED_PETQTEBOSS,Pet: Flash Zip,,,Pet: Flash Zip,寵物：閃電瞬移,宠物：闪电穿梭,ペット：フラッシュジップ,소환수:급상승,Kæledyr:Lyn-hvislen,Huisdier:Flitsflats,Familier :Attaque en piqué,Tier:Blitzzischen,Animale:Lampo saettante,Kjæledyr:Lynangrep,Питомец:Вспышка молнии,Mascota:Tirolina relámpago,Djur:Snabblixt,Hayvan:Hızır Vınn,Pet:Flash Zip
TALENT_ENGAGED_PETGOLD,Pet: Heart of Midas,,,Pet: Heart of Midas,寵物：米達斯之心,宠物：米达斯之心,ペット：ミダスのハート,소환수:미다스의 심장,Kæledyr:Midas' hjerte,Huisdier:Hart van Midas,Familier :Cœur de Midas,Tier:Herz von Midas,Animale:Cuore di Mida,Kjæledyr:Midas' hjerte,Питомец:Сердце Мидаса,Mascota:Corazón de Midas,Djur:Midas hjärta,Hayvan:Midas'ın Kalbi,Pet:Coração de Midas
TALENT_ENGAGED_PETCOUNT,Pet: Dynamic Zoom,,,Pet: Dynamic Zoom,寵物：動態瞄準,宠物：活力疾行,ペット：ダイナミックズーム,소환수:다이나믹 줌,Kæledyr:Dynamisk zoom,Huisdier:Dynamisch inzoomen,Familier :Zoom dynamique,Tier:Dynamikzoom,Animale:Zoom dinamico,Kjæledyr:Dynamisk zoom,Питомец:Молниеносная скорость,Mascota:Agilidad mental,Djur:Dynamisk zoom,Hayvan:Dinamik Zum,Pet:Zoom Dinâmico
