EquipmentID,EquipmentCategory,BonusType,Rarity,AttributeBaseAmount,AttributeBaseInc
Aura_Dizzy,Aura,ChestChance,1,0.01,0.0001
Aura_GroundLightning,Aura,ChestChance,1,0.01,0.00011
Aura_Colors,Aura,ChestChance,1,0.01,0.00009
Aura_Water,Aura,ChestChance,2,0.01,0.00016
Aura_Orbs,Aura,ChestChance,2,0.01,0.00016
Aura_Bats,Aura,ChestChance,3,0.01,0.00021
Aura_Lightning,Aura,CritChance,1,0.01,0.0001
Aura_Diamonds,Aura,CritChance,1,0.01,0.00011
Aura_Star,Aura,CritChance,1,0.01,0.00012
Aura_Bird,Aura,CritChance,2,0.01,0.00015
Aura_BlackEnergy,Aura,CritChance,2,0.01,0.00016
Aura_Bones,Aura,CritChance,3,0.01,0.00021
Aura_Wind,Aura,CritChance,3,0.01,0.005
Aura_Bugs,Aura,MonsterHP,1,0.99,-0.00014
Aura_Embers,Aura,MonsterHP,1,0.99,-0.0003
Aura_Sparks,Aura,MonsterHP,1,0.99,-0.00035
Aura_Leaves,Aura,MonsterHP,2,0.99,-0.0006
Aura_Ice,Aura,MonsterHP,3,0.99,-0.0009
Aura_Cards,Aura,None,0,1,0
Aura_Fire,Aura,None,0,1,0
Hat_Cat,Hat,RangedHelperDamage,1,1,0.04
Hat_HelmTall,Hat,RangedHelperDamage,1,1,0.045
Hat_Ice,Hat,RangedHelperDamage,1,1,0.047
Hat_Wizard,Hat,RangedHelperDamage,1,1,0.05
Hat_HelmDevil,Hat,RangedHelperDamage,2,1,0.12
Hat_Indie,Hat,RangedHelperDamage,3,1,0.3
Hat_KickAss,Hat,MeleeHelperDamage,1,1,0.04
Hat_BatGrey,Hat,MeleeHelperDamage,1,1,0.045
Hat_Robot,Hat,MeleeHelperDamage,1,1,0.047
Hat_HelmHorned,Hat,MeleeHelperDamage,1,1,0.05
Hat_Tribal,Hat,MeleeHelperDamage,2,1,0.12
Hat_Chicken,Hat,MeleeHelperDamage,3,1,0.3
Hat_BatRed,Hat,SpellHelperDamage,1,1,0.04
Hat_Cap,Hat,SpellHelperDamage,1,1,0.045
Hat_Music,Hat,SpellHelperDamage,1,1,0.047
Hat_HelmWhite,Hat,SpellHelperDamage,1,1,0.05
Hat_Top,Hat,SpellHelperDamage,2,1,0.12
Hat_Link,Hat,SpellHelperDamage,3,1,0.3
Hat_Ninja,Hat,SpellHelperDamage,3,1,0.32
Hat_Football,Hat,None,0,1,0
Hat_Alien,Hat,None,0,1,0
Hat_Transformer,Hat,None,0,1,0
Hat_PowerRanger,Hat,None,0,1,0
Hat_Poo,Hat,None,0,1,0
Hat_Pineapple,Hat,None,0,1,0
Hat_Soccer,Hat,None,0,1,0
Hat_Bag,Hat,None,0,1,0
Hat_Mega,Hat,None,0,1,0
Hat_Ironman,Hat,None,0,1,0
Hat_Kid,Hat,None,0,1,0
Hat_Kitty,Hat,None,0,1,0
Slash_Darkness,Slash,TapDamage,1,1,0.05
Slash_FireGray,Slash,TapDamage,1,1,0.053
Slash_FireOrange,Slash,TapDamage,1,1,0.055
Slash_Embers,Slash,TapDamage,1,1,0.06
Slash_Lava,Slash,TapDamage,2,1,0.14
