Level,Amount,Total multiplier,Benchmark
10,1.5,1.50E+00,
30,1.5,2.25E+00,
50,1.5,3.38E+00,
70,1.5,5.06E+00,
90,1.5,7.59E+00,
110,2,1.52E+01,
130,2,3.04E+01,
150,2,6.08E+01,
170,2,1.22E+02,
190,2,2.43E+02,
210,2,4.86E+02,
230,2,9.72E+02,
250,2,1.94E+03,
270,2,3.89E+03,
290,2,7.78E+03,
310,2,1.56E+04,
330,2,3.11E+04,
350,2,6.22E+04,
370,2,1.24E+05,
400,3,3.73E+05,
430,3,1.12E+06,
460,3,3.36E+06,
490,3,1.01E+07,
520,3,3.02E+07,
550,3,9.07E+07,
580,3,2.72E+08,
610,3,8.16E+08,
640,3,2.45E+09,
670,3,7.35E+09,
700,3,2.20E+10,
730,3,6.61E+10,
760,3,1.98E+11,
790,3,5.95E+11,
820,3,1.79E+12,
850,3,5.36E+12,
880,3,1.61E+13,
910,3,4.82E+13,
940,3,1.45E+14,
970,3,4.34E+14,
1000,100,4.34E+16,
1040,5,2.17E+17,
1080,6,1.30E+18,
1120,5,6.51E+18,
1160,6,3.90E+19,
1200,6,2.34E+20,
1240,5,1.17E+21,
1280,5,5.86E+21,
1320,6,3.51E+22,
1360,5,1.76E+23,
1400,5,8.78E+23,
1440,6,5.27E+24,
1480,7,3.69E+25,
1520,9,3.32E+26,
1560,8,2.66E+27,
1600,10,2.66E+28,
1640,3,7.97E+28,
1680,4,3.19E+29,
1720,5,1.59E+30,
1760,6,9.56E+30,
1800,3,2.87E+31,
1840,4,1.15E+32,
1880,5,5.74E+32,
1920,4,2.30E+33,
1960,5,1.15E+34,
2000,100,1.15E+36,
2050,6,6.89E+36,
2100,10,6.89E+37,
2150,8,5.51E+38,
2200,7,3.86E+39,
2250,8,3.08E+40,
2300,10,3.08E+41,
2350,4,1.23E+42,
2400,8,9.87E+42,
2450,12,1.18E+44,
2500,3,3.55E+44,
2550,6,2.13E+45,
2600,8,1.71E+46,
2650,12,2.05E+47,
2700,6,1.23E+48,
2750,12,1.47E+49,
2800,10,1.47E+50,
2850,13,1.92E+51,
2900,12,2.30E+52,
2950,8,1.84E+53,
3000,100,1.84E+55,
3050,6,1.10E+56,
3100,8,8.83E+56,
3150,10,8.83E+57,
3200,12,1.06E+59,
3250,10,1.06E+60,
3300,12,1.27E+61,
3350,10,1.27E+62,
3400,4,5.09E+62,
3450,5,2.54E+63,
3500,12,3.05E+64,
3550,10,3.05E+65,
3600,12,3.66E+66,
3650,8,2.93E+67,
3700,12,3.51E+68,
3750,8,2.81E+69,
3800,10,2.81E+70,
3850,12,3.37E+71,
3900,10,3.37E+72,
3950,12,4.05E+73,
4000,100,4.05E+75,
4100,100,4.05E+77,
4200,100,4.05E+79,
4300,100,4.05E+81,
4400,100,4.05E+83,
4500,100,4.05E+85,
4600,100,4.05E+87,
4700,100,4.05E+89,
4800,100,4.05E+91,
4900,100,4.05E+93,
5000,100,4.05E+95,
5100,100,4.05E+97,
5200,100,4.05E+99,
5300,100,4.05E+101,
5400,100,4.05E+103,
5500,100,4.05E+105,
5600,100,4.05E+107,
5700,100,4.05E+109,
5800,100,4.05E+111,
5900,100,4.05E+113,
6000,100,4.05E+115,
