Level,Amount
10,1.5
30,1.5
50,1.5
70,2
90,2
110,3
130,3
150,3
170,4
190,4
210,3
230,3
250,3
270,3
290,2
310,2
330,2
350,3
370,3
400,3
420,3
440,3
460,3
480,4
500,4
520,4
540,4
560,4
580,4
600,2
620,2
640,2
660,2
680,2
700,2
720,2
740,2
760,2
780,2
800,3
820,3
840,3
860,3
880,3
900,3
920,3
940,3
960,3
980,3
1000,10
1040,9
1080,8
1120,7
1160,8
1200,9
1240,10
1280,9
1320,8
1360,9
1400,10
1440,11
1480,12
1520,11
1560,10
1600,9
1640,8
1680,7
1720,7
1760,8
1800,9
1840,10
1880,9
1920,8
1960,9
2000,30
2050,10
2100,10
2150,10
2200,10
2250,10
2300,10
2350,10
2400,10
2450,10
2500,10
2550,10
2600,10
2650,10
2700,10
2750,10
2800,10
2850,10
2900,10
2950,10
3000,30
3050,10
3100,10
3150,10
3200,10
3250,10
3300,10
3350,10
3400,10
3450,10
3500,10
3550,10
3600,10
3650,10
3700,10
3750,10
3800,10
3850,10
3900,10
3950,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
