Level,Amount
10,2
30,2
50,2
70,2
90,2
110,2
130,2
150,2
170,2
190,2
210,3
230,3
250,2
270,2
290,2
310,3
330,2
350,2
370,2
400,2
420,3
440,3
460,3
480,2
500,2
520,2
540,2
560,2
580,2
600,2
620,2
640,2
660,2
680,2
700,2
720,2
740,2
760,2
780,2
800,2
820,2
840,2
860,2
880,2
900,2
920,2
940,2
960,2
980,2
1000,10
1040,5
1080,5
1120,5
1160,5
1200,10
1240,5
1280,5
1320,5
1360,5
1400,10
1440,5
1480,5
1520,5
1560,5
1600,10
1640,5
1680,5
1720,5
1760,5
1800,10
1840,5
1880,5
1920,5
1960,5
2000,20
2050,5
2100,10
2150,5
2200,10
2250,5
2300,10
2350,5
2400,10
2450,5
2500,10
2550,5
2600,10
2650,5
2700,10
2750,5
2800,10
2850,5
2900,10
2950,5
3000,30
3050,5
3100,5
3150,5
3200,10
3250,5
3300,5
3350,5
3400,10
3450,5
3500,5
3550,5
3600,10
3650,5
3700,5
3750,5
3800,10
3850,5
3900,5
3950,5
4000,40
4100,12
4200,12
4300,12
4400,12
4500,12
4600,12
4700,12
4800,12
4900,12
5000,50
5100,12
5200,12
5300,12
5400,12
5500,12
5600,12
5700,12
5800,12
5900,12
6000,60
